"employee_row_id","eeid","full_name","job_title","department","business_unit","gender","ethnicity","age","hire_date","tenure_years","annual_salary","salary_band","bonus_pct","bonus_amount","country","city","is_duplicate_eeid"
1,"E04354","Raelynn Rios","Vice President","Sales","Manufacturing","Female","Latino",43,"2016-08-21 00:00:00",9.9,258498,"Very Low",0.35,904.74,"United States","Columbus",False
2,"E04742","Kinsley Vega","Vice President","Accounting","Corporate","Female","Latino",33,"2020-12-16 00:00:00",5.6,258426,"Very Low",0.4,1033.7,"Brazil","Rio de Janerio",False
3,"E02522","Silas Rivera","Vice President","Sales","Corporate","Male","Latino",48,"2000-02-28 00:00:00",26.4,258081,"Very Low",0.3,774.24,"United States","Chicago",False
4,"E01371","Dominic Le","Vice President","Marketing","Corporate","Male","Asian",41,"2014-10-04 00:00:00",11.8,257194,"Very Low",0.35,900.18,"China","Chongqing",False
5,"E04170","Grayson Chin","Vice President","IT","Research & Development","Male","Asian",26,"2020-05-09 00:00:00",6.2,256561,"Very Low",0.39,1000.59,"United States","Austin",False
6,"E01628","Jackson Perry","Vice President","Marketing","Research & Development","Male","Caucasian",27,"2019-10-20 00:00:00",6.7,256420,"Very Low",0.3,769.26,"United States","Phoenix",False
7,"E00917","Skylar Bell","Vice President","Engineering","Manufacturing","Female","Caucasian",30,"2018-03-06 00:00:00",8.4,255431,"Very Low",0.36,919.55,"United States","Columbus",False
8,"E04103","Isabella Soto","Vice President","Finance","Corporate","Female","Latino",27,"2021-12-15 00:00:00",4.6,255369,"Very Low",0.33,842.72,"Brazil","Sao Paulo",False
9,"E01584","Henry Zhu","Vice President","Marketing","Speciality Products","Male","Asian",38,"2021-08-25 00:00:00",4.9,255230,"Very Low",0.36,918.83,"United States","Austin",True
10,"E02825","Wyatt Li","Vice President","Engineering","Manufacturing","Male","Asian",63,"2013-06-03 00:00:00",13.1,254289,"Very Low",0.39,991.73,"United States","Chicago",False
11,"E00325","Jameson Chen","Vice President","Marketing","Research & Development","Male","Asian",39,"2019-12-05 00:00:00",6.6,254057,"Very Low",0.39,990.82,"China","Shanghai",False
12,"E02563","Emily Clark","Vice President","Accounting","Corporate","Female","Caucasian",36,"2020-01-13 00:00:00",6.5,253294,"Very Low",0.4,1013.18,"United States","Miami",True
13,"E00218","David Desai","Vice President","Sales","Speciality Products","Male","Asian",47,"2016-11-22 00:00:00",9.7,253249,"Very Low",0.31,785.07,"United States","Austin",False
14,"E03289","Christopher Lam","Vice President","Accounting","Manufacturing","Male","Asian",64,"2013-03-29 00:00:00",13.3,252325,"Very Low",0.4,1009.3,"United States","Columbus",False
15,"E02599","Daniel Huang","Vice President","Human Resources","Corporate","Male","Asian",31,"2015-09-03 00:00:00",10.9,250953,"Very Low",0.34,853.24,"United States","Columbus",False
16,"E03226","Angel Stewart","Vice President","Finance","Corporate","Male","Caucasian",28,"2019-06-22 00:00:00",7.1,250767,"Very Low",0.38,952.91,"United States","Seattle",False
17,"E01070","Grayson Brown","Vice President","IT","Corporate","Male","Caucasian",38,"2016-06-22 00:00:00",10.1,249870,"Very Low",0.34,849.56,"United States","Chicago",True
18,"E02391","Natalia Santos","Vice President","Human Resources","Speciality Products","Female","Latino",45,"2019-02-25 00:00:00",7.4,249801,"Very Low",0.39,974.22,"Brazil","Sao Paulo",True
19,"E01546","Maria Hong","Vice President","Finance","Speciality Products","Female","Asian",43,"2005-07-31 00:00:00",21.0,249686,"Very Low",0.31,774.03,"China","Chongqing",False
20,"E02783","Levi Mendez","Vice President","Sales","Research & Development","Male","Latino",39,"2011-08-23 00:00:00",14.9,249506,"Very Low",0.3,748.52,"Brazil","Rio de Janerio",False
21,"E00549","Isabella Xi","Vice President","Marketing","Research & Development","Female","Asian",41,"2013-03-13 00:00:00",13.4,249270,"Very Low",0.3,747.81,"United States","Seattle",False
22,"E00842","John Vega","Vice President","Finance","Corporate","Male","Latino",50,"2004-01-18 00:00:00",22.5,247939,"Very Low",0.35,867.79,"Brazil","Rio de Janerio",False
23,"E01423","James Castillo","Vice President","IT","Manufacturing","Male","Latino",51,"2001-07-19 00:00:00",25.0,247874,"Very Low",0.33,817.98,"Brazil","Manaus",False
24,"E04568","Rylee Yu","Vice President","Finance","Speciality Products","Female","Asian",54,"2011-07-10 00:00:00",15.0,247022,"Very Low",0.3,741.07,"China","Beijing",False
25,"E04123","Andrew Holmes","Vice President","IT","Speciality Products","Male","Black",59,"2010-12-30 00:00:00",15.6,246619,"Very Low",0.36,887.83,"United States","Miami",False
26,"E03247","Aaliyah Mai","Vice President","IT","Speciality Products","Female","Asian",57,"2016-11-11 00:00:00",9.7,246589,"Very Low",0.33,813.74,"United States","Phoenix",True
27,"E00154","Wyatt Chin","Vice President","Engineering","Speciality Products","Male","Asian",43,"2004-06-07 00:00:00",22.1,246231,"Very Low",0.31,763.32,"United States","Seattle",False
28,"E00715","Elijah Kang","Vice President","Engineering","Manufacturing","Male","Asian",35,"2011-10-10 00:00:00",14.8,245482,"Very Low",0.39,957.38,"United States","Seattle",False
29,"E02202","Emilia Bailey","Vice President","Accounting","Speciality Products","Female","Caucasian",41,"2012-08-09 00:00:00",13.9,245360,"Very Low",0.37,907.83,"United States","Austin",False
30,"E04249","Hadley Dang","Vice President","Accounting","Corporate","Female","Asian",47,"2021-12-26 00:00:00",4.6,243568,"Very Low",0.33,803.77,"United States","Austin",False
31,"E03394","Joseph Ly","Vice President","Marketing","Speciality Products","Male","Asian",40,"2009-02-28 00:00:00",17.4,242919,"Very Low",0.31,753.05,"China","Chongqing",False
32,"E01519","Anthony Marquez","Vice President","IT","Speciality Products","Male","Latino",54,"2009-08-15 00:00:00",16.9,241083,"Very Low",0.39,940.22,"United States","Columbus",False
33,"E02464","Sophie Silva","Vice President","Engineering","Corporate","Female","Latino",28,"2017-07-06 00:00:00",9.0,240488,"Very Low",0.4,961.95,"Brazil","Rio de Janerio",False
34,"E03774","Hannah Mejia","Vice President","Marketing","Corporate","Female","Latino",47,"1999-03-13 00:00:00",27.4,239394,"Very Low",0.32,766.06,"United States","Austin",False
35,"E03106","Xavier Davis","Vice President","Finance","Corporate","Male","Caucasian",36,"2009-01-17 00:00:00",17.5,238236,"Very Low",0.31,738.53,"United States","Seattle",False
36,"E02112","Christian Sanders","Vice President","Human Resources","Speciality Products","Male","Black",45,"2013-08-07 00:00:00",12.9,236946,"Very Low",0.37,876.7,"United States","Seattle",False
37,"E01899","Xavier Jackson","Vice President","Marketing","Speciality Products","Male","Caucasian",52,"2002-06-11 00:00:00",24.1,236314,"Very Low",0.34,803.47,"United States","Miami",False
38,"E01249","Samuel Bailey","Vice President","Accounting","Speciality Products","Male","Caucasian",41,"2013-08-17 00:00:00",12.9,235619,"Very Low",0.3,706.86,"United States","Seattle",True
39,"E03058","Angel Xiong","Vice President","IT","Research & Development","Male","Asian",35,"2015-06-11 00:00:00",11.1,234723,"Very Low",0.36,845.0,"China","Shanghai",True
40,"E00810","Hunter Nunez","Vice President","Human Resources","Corporate","Male","Latino",62,"2002-08-16 00:00:00",23.9,234594,"Very Low",0.33,774.16,"United States","Seattle",False
41,"E01403","Xavier Park","Vice President","IT","Research & Development","Male","Asian",40,"2020-11-08 00:00:00",5.7,234469,"Very Low",0.31,726.85,"China","Chengdu",False
42,"E00161","Ryan Ha","Vice President","Marketing","Corporate","Male","Asian",60,"2007-01-27 00:00:00",19.5,234311,"Very Low",0.37,866.95,"United States","Miami",False
43,"E02920","Willow Woods","Vice President","Human Resources","Speciality Products","Female","Caucasian",28,"2021-07-25 00:00:00",5.0,231850,"Very Low",0.39,904.22,"United States","Miami",False
44,"E04072","Emery Mitchell","Vice President","Finance","Manufacturing","Female","Caucasian",48,"2018-06-02 00:00:00",8.1,231567,"Very Low",0.36,833.64,"United States","Seattle",False
45,"E00304","Dylan Choi","Vice President","IT","Corporate","Male","Asian",63,"2012-05-11 00:00:00",14.2,231141,"Very Low",0.34,785.88,"China","Beijing",False
46,"E00446","Isaac Han","Vice President","Human Resources","Speciality Products","Male","Asian",31,"2015-01-14 00:00:00",11.5,230025,"Very Low",0.34,782.08,"United States","Phoenix",True
47,"E03371","Jack Alexander","Vice President","IT","Manufacturing","Male","Caucasian",56,"2006-05-29 00:00:00",20.1,228822,"Very Low",0.36,823.76,"United States","Miami",False
48,"E01095","Isla Lai","Vice President","Finance","Corporate","Female","Asian",37,"2011-12-06 00:00:00",14.6,225558,"Very Low",0.33,744.34,"China","Shanghai",False
49,"E03694","Elena Patterson","Vice President","Finance","Speciality Products","Female","Black",38,"2018-11-09 00:00:00",7.7,223805,"Very Low",0.36,805.7,"United States","Chicago",True
50,"E03947","Logan Soto","Vice President","Finance","Research & Development","Male","Latino",36,"2018-08-18 00:00:00",7.9,223404,"Very Low",0.32,714.89,"United States","Columbus",False
51,"E04607","Landon Brown","Vice President","Marketing","Corporate","Male","Caucasian",26,"2020-09-27 00:00:00",5.8,223055,"Very Low",0.3,669.16,"United States","Columbus",False
52,"E02944","Joshua Fong","Vice President","Engineering","Speciality Products","Male","Asian",47,"2012-06-11 00:00:00",14.1,222941,"Very Low",0.39,869.47,"China","Beijing",False
53,"E02633","Allison Roberts","Vice President","Sales","Manufacturing","Female","Black",54,"2000-08-19 00:00:00",25.9,222224,"Very Low",0.38,844.45,"United States","Columbus",False
54,"E01995","Jonathan Ho","Vice President","IT","Manufacturing","Male","Asian",37,"2011-06-25 00:00:00",15.1,221592,"Very Low",0.31,686.94,"United States","Columbus",False
55,"E03893","Alice Xiong","Vice President","Engineering","Manufacturing","Female","Asian",55,"2018-09-02 00:00:00",7.9,221465,"Very Low",0.34,752.98,"China","Chengdu",False
56,"E02639","Hadley Parker","Vice President","Marketing","Corporate","Female","Black",30,"2016-09-21 00:00:00",9.8,221217,"Very Low",0.32,707.89,"United States","Columbus",True
57,"E01232","Samantha Foster","Vice President","Human Resources","Research & Development","Female","Black",34,"2019-07-27 00:00:00",7.0,220937,"Very Low",0.38,839.56,"United States","Austin",False
58,"E03890","Nevaeh Jones","Vice President","Sales","Manufacturing","Female","Caucasian",31,"2020-08-20 00:00:00",5.9,219693,"Very Low",0.3,659.08,"United States","Austin",True
59,"E03159","Claire Romero","Vice President","Marketing","Manufacturing","Female","Latino",37,"2011-07-21 00:00:00",15.0,219474,"Very Low",0.36,790.11,"Brazil","Manaus",False
60,"E00752","Luna Liu","Vice President","Sales","Manufacturing","Female","Asian",36,"2014-02-22 00:00:00",12.4,218530,"Very Low",0.3,655.59,"China","Shanghai",False
61,"E00380","Alice Thompson","Vice President","Accounting","Speciality Products","Female","Caucasian",48,"2007-04-25 00:00:00",19.2,217783,"Very Low",0.36,784.02,"United States","Seattle",False
62,"E04088","Ezra Liang","Vice President","Finance","Research & Development","Male","Asian",52,"1997-05-26 00:00:00",29.2,216999,"Very Low",0.37,802.9,"United States","Miami",False
63,"E04729","Ezekiel Fong","Vice President","Sales","Research & Development","Male","Asian",56,"2004-02-25 00:00:00",22.4,216949,"Very Low",0.32,694.24,"China","Shanghai",False
64,"E03545","Sofia Cheng","Vice President","Accounting","Corporate","Female","Asian",63,"2020-07-26 00:00:00",6.0,216195,"Very Low",0.31,670.2,"United States","Miami",False
65,"E00672","Landon Luu","Vice President","IT","Research & Development","Male","Asian",31,"2015-07-12 00:00:00",11.0,215388,"Very Low",0.33,710.78,"United States","Miami",True
66,"E02468","Ella Huang","Vice President","Marketing","Corporate","Female","Asian",45,"2016-02-28 00:00:00",10.4,211637,"Very Low",0.31,656.07,"United States","Chicago",False
67,"E03737","Kennedy Rahman","Vice President","Human Resources","Manufacturing","Female","Asian",49,"2003-02-28 00:00:00",23.4,211291,"Very Low",0.37,781.78,"China","Chongqing",False
68,"E01006","Autumn Leung","Vice President","Finance","Research & Development","Female","Asian",25,"2021-11-15 00:00:00",4.7,210708,"Very Low",0.33,695.34,"United States","Chicago",False
