employee_row_id,eeid,full_name,job_title,department,business_unit,gender,ethnicity,age,hire_date,annual_salary,bonus_pct,country,city,rank_eq,tenure_years,bonus_amount,salary_band,is_duplicate_eeid
1,E04354,Raelynn Rios,Vice President,Sales,Manufacturing,Female,Latino,43,2016-08-21,258498,0.35,United States,Columbus,1,9.9,904.74,Very Low,False
2,E04742,Kinsley Vega,Vice President,Accounting,Corporate,Female,Latino,33,2020-12-16,258426,0.4,Brazil,Rio de Janerio,2,5.6,1033.7,Very Low,False
3,E02522,Silas Rivera,Vice President,Sales,Corporate,Male,Latino,48,2000-02-28,258081,0.3,United States,Chicago,3,26.4,774.24,Very Low,False
4,E01371,Dominic Le,Vice President,Marketing,Corporate,Male,Asian,41,2014-10-04,257194,0.35,China,Chongqing,4,11.8,900.18,Very Low,False
5,E04170,Grayson Chin,Vice President,IT,Research & Development,Male,Asian,26,2020-05-09,256561,0.39,United States,Austin,5,6.2,1000.59,Very Low,False
6,E01628,Jackson Perry,Vice President,Marketing,Research & Development,Male,Caucasian,27,2019-10-20,256420,0.3,United States,Phoenix,6,6.7,769.26,Very Low,False
7,E00917,Skylar Bell,Vice President,Engineering,Manufacturing,Female,Caucasian,30,2018-03-06,255431,0.36,United States,Columbus,7,8.4,919.55,Very Low,False
8,E04103,Isabella Soto,Vice President,Finance,Corporate,Female,Latino,27,2021-12-15,255369,0.33,Brazil,Sao Paulo,8,4.6,842.72,Very Low,False
9,E01584,Henry Zhu,Vice President,Marketing,Speciality Products,Male,Asian,38,2021-08-25,255230,0.36,United States,Austin,9,4.9,918.83,Very Low,True
10,E02825,Wyatt Li,Vice President,Engineering,Manufacturing,Male,Asian,63,2013-06-03,254289,0.39,United States,Chicago,10,13.1,991.73,Very Low,False
11,E00325,Jameson Chen,Vice President,Marketing,Research & Development,Male,Asian,39,2019-12-05,254057,0.39,China,Shanghai,11,6.6,990.82,Very Low,False
12,E02563,Emily Clark,Vice President,Accounting,Corporate,Female,Caucasian,36,2020-01-13,253294,0.4,United States,Miami,12,6.5,1013.18,Very Low,True
13,E00218,David Desai,Vice President,Sales,Speciality Products,Male,Asian,47,2016-11-22,253249,0.31,United States,Austin,13,9.7,785.07,Very Low,False
14,E03289,Christopher Lam,Vice President,Accounting,Manufacturing,Male,Asian,64,2013-03-29,252325,0.4,United States,Columbus,14,13.3,1009.3,Very Low,False
15,E02599,Daniel Huang,Vice President,Human Resources,Corporate,Male,Asian,31,2015-09-03,250953,0.34,United States,Columbus,15,10.9,853.24,Very Low,False
16,E03226,Angel Stewart,Vice President,Finance,Corporate,Male,Caucasian,28,2019-06-22,250767,0.38,United States,Seattle,16,7.1,952.91,Very Low,False
17,E01070,Grayson Brown,Vice President,IT,Corporate,Male,Caucasian,38,2016-06-22,249870,0.34,United States,Chicago,17,10.1,849.56,Very Low,True
18,E02391,Natalia Santos,Vice President,Human Resources,Speciality Products,Female,Latino,45,2019-02-25,249801,0.39,Brazil,Sao Paulo,18,7.4,974.22,Very Low,True
19,E01546,Maria Hong,Vice President,Finance,Speciality Products,Female,Asian,43,2005-07-31,249686,0.31,China,Chongqing,19,21.0,774.03,Very Low,False
20,E02783,Levi Mendez,Vice President,Sales,Research & Development,Male,Latino,39,2011-08-23,249506,0.3,Brazil,Rio de Janerio,20,14.9,748.52,Very Low,False
21,E00549,Isabella Xi,Vice President,Marketing,Research & Development,Female,Asian,41,2013-03-13,249270,0.3,United States,Seattle,21,13.4,747.81,Very Low,False
22,E00842,John Vega,Vice President,Finance,Corporate,Male,Latino,50,2004-01-18,247939,0.35,Brazil,Rio de Janerio,22,22.5,867.79,Very Low,False
23,E01423,James Castillo,Vice President,IT,Manufacturing,Male,Latino,51,2001-07-19,247874,0.33,Brazil,Manaus,23,25.0,817.98,Very Low,False
24,E04568,Rylee Yu,Vice President,Finance,Speciality Products,Female,Asian,54,2011-07-10,247022,0.3,China,Beijing,24,15.0,741.07,Very Low,False
25,E04123,Andrew Holmes,Vice President,IT,Speciality Products,Male,Black,59,2010-12-30,246619,0.36,United States,Miami,25,15.6,887.83,Very Low,False
26,E03247,Aaliyah Mai,Vice President,IT,Speciality Products,Female,Asian,57,2016-11-11,246589,0.33,United States,Phoenix,26,9.7,813.74,Very Low,True
27,E00154,Wyatt Chin,Vice President,Engineering,Speciality Products,Male,Asian,43,2004-06-07,246231,0.31,United States,Seattle,27,22.1,763.32,Very Low,False
28,E00715,Elijah Kang,Vice President,Engineering,Manufacturing,Male,Asian,35,2011-10-10,245482,0.39,United States,Seattle,28,14.8,957.38,Very Low,False
29,E02202,Emilia Bailey,Vice President,Accounting,Speciality Products,Female,Caucasian,41,2012-08-09,245360,0.37,United States,Austin,29,13.9,907.83,Very Low,False
30,E04249,Hadley Dang,Vice President,Accounting,Corporate,Female,Asian,47,2021-12-26,243568,0.33,United States,Austin,30,4.6,803.77,Very Low,False
31,E03394,Joseph Ly,Vice President,Marketing,Speciality Products,Male,Asian,40,2009-02-28,242919,0.31,China,Chongqing,31,17.4,753.05,Very Low,False
32,E01519,Anthony Marquez,Vice President,IT,Speciality Products,Male,Latino,54,2009-08-15,241083,0.39,United States,Columbus,32,16.9,940.22,Very Low,False
33,E02464,Sophie Silva,Vice President,Engineering,Corporate,Female,Latino,28,2017-07-06,240488,0.4,Brazil,Rio de Janerio,33,9.0,961.95,Very Low,False
34,E03774,Hannah Mejia,Vice President,Marketing,Corporate,Female,Latino,47,1999-03-13,239394,0.32,United States,Austin,34,27.4,766.06,Very Low,False
35,E03106,Xavier Davis,Vice President,Finance,Corporate,Male,Caucasian,36,2009-01-17,238236,0.31,United States,Seattle,35,17.5,738.53,Very Low,False
36,E02112,Christian Sanders,Vice President,Human Resources,Speciality Products,Male,Black,45,2013-08-07,236946,0.37,United States,Seattle,36,12.9,876.7,Very Low,False
37,E01899,Xavier Jackson,Vice President,Marketing,Speciality Products,Male,Caucasian,52,2002-06-11,236314,0.34,United States,Miami,37,24.1,803.47,Very Low,False
38,E01249,Samuel Bailey,Vice President,Accounting,Speciality Products,Male,Caucasian,41,2013-08-17,235619,0.3,United States,Seattle,38,12.9,706.86,Very Low,True
39,E03058,Angel Xiong,Vice President,IT,Research & Development,Male,Asian,35,2015-06-11,234723,0.36,China,Shanghai,39,11.1,845.0,Very Low,True
40,E00810,Hunter Nunez,Vice President,Human Resources,Corporate,Male,Latino,62,2002-08-16,234594,0.33,United States,Seattle,40,23.9,774.16,Very Low,False
41,E01403,Xavier Park,Vice President,IT,Research & Development,Male,Asian,40,2020-11-08,234469,0.31,China,Chengdu,41,5.7,726.85,Very Low,False
42,E00161,Ryan Ha,Vice President,Marketing,Corporate,Male,Asian,60,2007-01-27,234311,0.37,United States,Miami,42,19.5,866.95,Very Low,False
43,E02920,Willow Woods,Vice President,Human Resources,Speciality Products,Female,Caucasian,28,2021-07-25,231850,0.39,United States,Miami,43,5.0,904.22,Very Low,False
44,E04072,Emery Mitchell,Vice President,Finance,Manufacturing,Female,Caucasian,48,2018-06-02,231567,0.36,United States,Seattle,44,8.1,833.64,Very Low,False
45,E00304,Dylan Choi,Vice President,IT,Corporate,Male,Asian,63,2012-05-11,231141,0.34,China,Beijing,45,14.2,785.88,Very Low,False
46,E00446,Isaac Han,Vice President,Human Resources,Speciality Products,Male,Asian,31,2015-01-14,230025,0.34,United States,Phoenix,46,11.5,782.08,Very Low,True
47,E03371,Jack Alexander,Vice President,IT,Manufacturing,Male,Caucasian,56,2006-05-29,228822,0.36,United States,Miami,47,20.1,823.76,Very Low,False
48,E01095,Isla Lai,Vice President,Finance,Corporate,Female,Asian,37,2011-12-06,225558,0.33,China,Shanghai,48,14.6,744.34,Very Low,False
49,E03694,Elena Patterson,Vice President,Finance,Speciality Products,Female,Black,38,2018-11-09,223805,0.36,United States,Chicago,49,7.7,805.7,Very Low,True
50,E03947,Logan Soto,Vice President,Finance,Research & Development,Male,Latino,36,2018-08-18,223404,0.32,United States,Columbus,50,7.9,714.89,Very Low,False
51,E04607,Landon Brown,Vice President,Marketing,Corporate,Male,Caucasian,26,2020-09-27,223055,0.3,United States,Columbus,51,5.8,669.16,Very Low,False
52,E02944,Joshua Fong,Vice President,Engineering,Speciality Products,Male,Asian,47,2012-06-11,222941,0.39,China,Beijing,52,14.1,869.47,Very Low,False
53,E02633,Allison Roberts,Vice President,Sales,Manufacturing,Female,Black,54,2000-08-19,222224,0.38,United States,Columbus,53,25.9,844.45,Very Low,False
54,E01995,Jonathan Ho,Vice President,IT,Manufacturing,Male,Asian,37,2011-06-25,221592,0.31,United States,Columbus,54,15.1,686.94,Very Low,False
55,E03893,Alice Xiong,Vice President,Engineering,Manufacturing,Female,Asian,55,2018-09-02,221465,0.34,China,Chengdu,55,7.9,752.98,Very Low,False
56,E02639,Hadley Parker,Vice President,Marketing,Corporate,Female,Black,30,2016-09-21,221217,0.32,United States,Columbus,56,9.8,707.89,Very Low,True
57,E01232,Samantha Foster,Vice President,Human Resources,Research & Development,Female,Black,34,2019-07-27,220937,0.38,United States,Austin,57,7.0,839.56,Very Low,False
58,E03890,Nevaeh Jones,Vice President,Sales,Manufacturing,Female,Caucasian,31,2020-08-20,219693,0.3,United States,Austin,58,5.9,659.08,Very Low,True
59,E03159,Claire Romero,Vice President,Marketing,Manufacturing,Female,Latino,37,2011-07-21,219474,0.36,Brazil,Manaus,59,15.0,790.11,Very Low,False
60,E00752,Luna Liu,Vice President,Sales,Manufacturing,Female,Asian,36,2014-02-22,218530,0.3,China,Shanghai,60,12.4,655.59,Very Low,False
